alumno_id,horas_estudio_sem,asistencia_pct,participacion_clase,num_tareas_entregadas,promedio_examenes_parciales,acceso_internet,nivel_socioeconomico,horas_trabajo_sem,num_reprobadas_previas,modalidad,tutor_asignado,nota_final,resultado
20035,15.0,67.9,alta,2,58.69,NO,Medio,41,2,Presencial,1,46.61,Reprobado
20036,35.0,51.9,1,6,91.58,1,,2,6,Presencial,0,86.58,Bueno
20037,12.0,52.4,Alta,8,57.17,0,Bajo,2,2,presencial,1,54.4,Reprobado
20038,1.0,85.1,2,5,63.4,1,Bajo,28,5,Presencial,0,42.1,Reprobado
20039,38.0,77.6,Alta,11,58.37,,Alto,32,2,híbrido,0,83.66,Bueno
20040,,59.3,0,15,,No,MEDIO,43,2,presencial,1,59.29,Reprobado
20041,5.0,60.3,Media,1,79.06,Si,,19,5,presencial,1,68.08,Suficiente
20042,11.0,80.1,Alta,3,,si,Bajo,16,3,EN LÍNEA,0,48.65,Reprobado
20043,11.0,63.9,Media,13,74.98,0,bajo,5,1,híbrido,0,62.54,Suficiente
20044,23.0,87.4,media,8,39.48,0,,4,7,en línea,1,73.16,Suficiente
20045,,60.1,Media,3,86.36,NO,MEDIO,25,4,EN LÍNEA,0,100.0,Excelente
20046,6.0,96.6,media,15,82.29,Si,MEDIO,26,1,híbrido,1,60.97,Suficiente
20047,48.0,66.6,2,11,36.54,Si,Alto,20,5,en línea,0,68.24,Suficiente
20048,23.0,61.6,Media,10,71.15,No,Medio,46,7,presencial,1,79.21,Bueno
20049,11.0,78.4,Alta,11,,0,MEDIO,34,1,Presencial,1,57.49,Reprobado
20050,36.0,91.8,0,0,80.87,No,bajo,27,6,presencial,0,85.14,Bueno
20051,46.0,35.8,media,6,98.43,,Medio,15,6,presencial,0,98.32,Excelente
20052,29.0,43.5,Baja,15,35.86,1,bajo,23,4,en línea,1,58.67,Reprobado
20053,2.0,63.5,0,17,74.98,Si,MEDIO,28,1,híbrido,0,67.8,Suficiente
20054,2.0,48.8,1,14,86.81,NO,MEDIO,43,3,en línea,1,65.49,Suficiente
20055,34.0,72.8,ALTA,10,44.44,1,bajo,47,7,presencial,0,80.01,Bueno
20056,5.0,97.8,0,11,43.56,1,Alto,33,4,Presencial,1,42.97,Reprobado
20057,,41.6,Baja,5,68.32,,Medio,2,5,híbrido,0,70.98,Suficiente
20058,18.0,76.6,1,19,42.1,NO,Medio,9,2,presencial,1,58.36,Reprobado
20059,,91.1,media,1,59.53,si,Alto,19,7,EN LÍNEA,1,78.31,Bueno
20060,19.0,86.4,1,18,57.25,si,,47,7,Presencial,1,65.5,Suficiente
20061,,43.9,0,19,,No,,39,1,en línea,1,78.67,Bueno
20062,0.0,64.7,Media,19,89.64,1,MEDIO,37,2,presencial,0,69.01,Suficiente
20063,44.0,81.8,ALTA,6,94.61,NO,Bajo,13,5,en línea,0,100.0,Excelente
20064,14.0,62.7,Baja,13,91.58,0,Medio,34,7,en línea,0,77.71,Bueno
20065,6.0,59.1,media,5,,Si,bajo,15,2,híbrido,0,44.5,Reprobado
20066,7.0,77.8,Baja,6,83.01,si,MEDIO,4,2,EN LÍNEA,1,72.33,Suficiente
20067,,33.1,2,8,56.02,si,bajo,6,3,presencial,1,66.2,Suficiente
20068,35.0,37.7,0,12,95.16,Si,Alto,20,1,presencial,1,98.82,Excelente
20069,40.0,91.0,1,6,51.64,No,bajo,39,0,híbrido,0,90.03,Excelente
20070,38.0,63.1,2,15,43.97,Si,MEDIO,13,7,EN LÍNEA,1,73.07,Suficiente
20071,38.0,39.0,Baja,6,88.04,Si,,18,0,Presencial,1,80.53,Bueno
20072,35.0,86.4,1,10,50.64,No,Medio,28,6,Presencial,1,88.77,Bueno
20073,22.0,41.0,ALTA,5,75.85,Si,bajo,10,2,Presencial,0,78.22,Bueno
20074,22.0,85.2,alta,7,66.26,si,Medio,24,4,en línea,1,78.75,Bueno
20075,44.0,82.4,Media,14,43.56,No,bajo,43,4,Presencial,0,79.09,Bueno
20076,0.0,61.2,Media,6,78.72,si,Medio,33,7,en línea,1,48.91,Reprobado
20077,23.0,85.8,media,4,71.48,Si,Medio,2,6,EN LÍNEA,1,74.22,Suficiente
20078,,61.7,Baja,16,59.77,NO,Medio,0,3,en línea,0,68.46,Suficiente
20079,0.0,76.7,ALTA,18,65.59,Si,MEDIO,44,1,híbrido,0,46.01,Reprobado
20080,40.0,86.7,Baja,10,33.07,Si,MEDIO,2,3,EN LÍNEA,0,78.16,Bueno
20081,4.0,63.1,Media,2,62.37,1,Alto,4,1,presencial,1,41.27,Reprobado
20082,7.0,53.3,1,2,,NO,Medio,42,7,presencial,1,44.71,Reprobado
20083,21.0,89.7,Alta,10,30.0,1,,5,6,presencial,1,53.79,Reprobado
20084,14.0,55.6,Baja,6,42.61,Si,,44,0,presencial,1,49.64,Reprobado
20085,,34.6,media,1,,NO,Alto,31,7,EN LÍNEA,1,57.43,Reprobado
20086,21.0,91.1,media,4,66.52,,Alto,27,4,en línea,0,78.54,Bueno
20087,18.0,40.9,0,3,40.19,Si,Medio,2,6,híbrido,0,64.7,Suficiente
20088,8.0,98.8,0,4,30.45,Si,bajo,28,5,Presencial,0,42.69,Reprobado
20089,,37.0,alta,6,57.32,1,Alto,15,5,híbrido,0,77.46,Bueno
20090,3.0,82.4,Media,14,42.13,Si,MEDIO,29,2,en línea,1,41.83,Reprobado
20091,33.0,46.6,2,15,71.66,Si,,18,2,en línea,0,74.44,Suficiente
20092,24.0,78.3,2,6,64.44,Si,MEDIO,39,1,presencial,0,69.54,Suficiente
20093,2.0,62.7,Media,15,74.62,1,Bajo,19,7,presencial,0,74.38,Suficiente
20094,10.0,57.3,Alta,18,,,bajo,35,1,en línea,0,53.17,Reprobado
20095,25.0,76.8,Alta,9,82.57,si,Medio,40,0,EN LÍNEA,0,79.48,Bueno
20096,46.0,64.2,1,2,31.72,Si,MEDIO,29,7,Presencial,0,81.61,Bueno
20097,1.0,86.9,ALTA,18,60.94,Si,Medio,40,4,Presencial,0,51.93,Reprobado
20098,11.0,46.6,1,1,59.94,No,,31,0,híbrido,0,60.11,Suficiente
20099,36.0,43.2,Baja,8,95.2,NO,Bajo,15,6,presencial,1,90.79,Excelente
20100,38.0,55.0,1,3,73.04,1,bajo,39,1,presencial,1,91.77,Excelente
20101,19.0,55.3,alta,12,91.27,Si,Medio,22,7,híbrido,1,98.51,Excelente
20102,42.0,88.4,1,16,,No,Alto,11,1,híbrido,1,95.91,Excelente
20103,9.0,95.8,alta,2,58.46,NO,Alto,41,4,híbrido,0,72.81,Suficiente
20104,30.0,77.3,2,15,93.84,Si,Alto,15,7,Presencial,0,92.26,Excelente
20105,,65.6,media,7,,0,MEDIO,42,4,en línea,0,75.08,Bueno
20106,,69.9,media,16,98.34,NO,bajo,20,5,híbrido,0,94.87,Excelente
20107,33.0,52.8,media,15,54.65,1,,35,7,híbrido,0,62.79,Suficiente
20108,39.0,82.7,ALTA,13,36.33,NO,MEDIO,11,1,en línea,0,70.53,Suficiente
20109,29.0,86.0,Baja,17,37.8,NO,bajo,36,5,EN LÍNEA,1,59.78,Reprobado
20110,30.0,38.8,Baja,11,60.05,No,Bajo,9,2,Presencial,0,73.88,Suficiente
20111,26.0,54.1,1,6,39.66,No,,19,4,en línea,0,49.13,Reprobado
20112,33.0,50.1,1,0,94.69,si,MEDIO,28,4,EN LÍNEA,1,82.41,Bueno
20113,32.0,89.9,Media,16,48.07,NO,Bajo,44,4,presencial,0,61.22,Suficiente
20114,23.0,90.7,alta,19,80.84,No,MEDIO,17,3,EN LÍNEA,1,79.41,Bueno
20115,26.0,88.9,ALTA,17,66.8,No,Medio,32,2,Presencial,1,91.35,Excelente
20116,22.0,90.0,media,6,93.96,Si,Alto,6,1,presencial,1,95.71,Excelente
20117,,88.5,Alta,18,69.73,si,Alto,9,1,presencial,0,85.82,Bueno
20118,3.0,61.1,alta,8,98.96,1,Alto,17,7,Presencial,1,84.11,Bueno
20119,31.0,76.3,media,17,35.7,NO,Bajo,35,7,híbrido,0,68.28,Suficiente
20120,11.0,36.6,Alta,1,76.58,Si,Alto,36,6,presencial,0,64.18,Suficiente
20121,7.0,66.0,ALTA,18,73.04,0,bajo,23,3,en línea,1,53.53,Reprobado
20122,34.0,82.2,alta,1,77.34,1,MEDIO,7,2,EN LÍNEA,0,87.17,Bueno
20123,48.0,48.9,Baja,11,52.2,si,bajo,27,3,presencial,1,82.16,Bueno
20124,24.0,53.9,Baja,4,36.2,Si,MEDIO,19,3,EN LÍNEA,0,53.03,Reprobado
20125,21.0,81.7,Media,8,45.0,si,bajo,20,0,en línea,1,58.11,Reprobado
20126,,44.1,1,12,90.28,0,Bajo,32,3,presencial,0,91.9,Excelente
20127,47.0,42.5,Media,19,,1,Bajo,19,0,EN LÍNEA,0,100.0,Excelente
20128,,47.1,1,0,45.65,0,bajo,30,0,presencial,0,54.46,Reprobado
20129,5.0,55.8,Media,10,31.99,1,MEDIO,2,7,presencial,0,42.6,Reprobado
20130,23.0,93.1,ALTA,15,,NO,MEDIO,16,7,EN LÍNEA,0,75.1,Bueno
20131,12.0,79.5,0,7,45.38,1,Bajo,42,3,EN LÍNEA,0,55.63,Reprobado
20132,34.0,87.1,ALTA,15,64.52,si,Bajo,31,4,Presencial,0,88.79,Bueno
20133,47.0,91.6,Alta,10,60.73,Si,bajo,23,7,EN LÍNEA,0,80.77,Bueno
20134,13.0,57.0,1,4,76.5,,Bajo,35,4,EN LÍNEA,0,63.13,Suficiente
20135,8.0,87.0,Media,15,54.62,No,Medio,45,5,Presencial,1,58.44,Reprobado
20136,3.0,50.2,ALTA,3,60.6,0,Alto,38,4,presencial,0,40.49,Reprobado
20137,10.0,97.7,1,6,88.05,1,Alto,14,5,en línea,1,76.43,Bueno
20138,35.0,67.7,media,10,51.98,0,Medio,43,3,presencial,0,67.18,Suficiente
20139,7.0,88.9,alta,10,43.08,NO,Medio,11,2,en línea,1,46.11,Reprobado
20140,,87.4,Media,15,56.84,si,Bajo,8,1,EN LÍNEA,1,56.47,Reprobado
20141,15.0,95.5,0,3,48.42,No,Medio,30,4,híbrido,0,65.6,Suficiente
20142,,71.1,0,9,93.3,,MEDIO,2,0,EN LÍNEA,1,100.0,Excelente
20143,18.0,89.4,1,3,30.76,No,MEDIO,12,4,presencial,1,49.66,Reprobado
20144,6.0,97.1,1,13,87.72,Si,Bajo,20,3,Presencial,0,67.01,Suficiente
20145,1.0,51.6,2,11,47.01,si,Medio,31,2,Presencial,1,40.33,Reprobado
20146,30.0,35.5,1,17,49.06,NO,Medio,19,0,EN LÍNEA,0,63.37,Suficiente
20147,9.0,41.7,media,1,37.56,No,Bajo,5,5,en línea,0,38.77,Reprobado
20148,43.0,54.4,0,5,66.5,1,Alto,30,4,presencial,0,91.95,Excelente
20149,42.0,52.8,Media,11,,Si,Alto,44,3,en línea,1,60.02,Suficiente
20150,34.0,36.9,0,2,60.58,0,MEDIO,28,4,EN LÍNEA,0,58.71,Reprobado
20151,,92.4,ALTA,10,81.31,0,bajo,28,5,Presencial,0,84.53,Bueno
20152,40.0,72.1,Baja,8,,No,,46,4,híbrido,0,92.7,Excelente
20153,34.0,89.6,alta,12,39.25,Si,Alto,30,4,híbrido,1,82.27,Bueno
20154,39.0,32.3,0,1,53.71,si,Alto,44,2,presencial,1,78.86,Bueno
20155,7.0,55.7,media,13,85.2,si,Alto,44,1,presencial,0,70.34,Suficiente
20156,43.0,58.2,Media,17,40.13,NO,Alto,0,4,Presencial,0,76.67,Bueno
20157,31.0,54.8,alta,18,44.89,Si,Bajo,43,7,presencial,0,50.06,Reprobado
20158,11.0,91.7,alta,8,43.05,0,Alto,4,6,presencial,0,71.52,Suficiente
20159,34.0,63.7,media,1,94.81,No,bajo,19,1,EN LÍNEA,1,96.67,Excelente
20160,1.0,61.8,alta,9,32.26,,MEDIO,44,4,híbrido,0,37.02,Reprobado
20161,2.0,99.3,2,1,37.68,0,MEDIO,2,0,híbrido,1,38.21,Reprobado
20162,24.0,51.2,alta,4,99.15,NO,,6,2,Presencial,0,92.75,Excelente
20163,35.0,49.0,0,4,80.36,0,Alto,47,6,en línea,1,85.39,Bueno
20164,41.0,49.0,1,4,79.68,si,bajo,41,2,híbrido,0,85.49,Bueno
20165,,33.0,1,13,49.85,No,Alto,6,0,híbrido,0,75.28,Bueno
20166,44.0,85.9,Media,7,74.37,No,Medio,42,3,Presencial,0,100.0,Excelente
20167,20.0,52.3,media,1,62.28,1,Alto,46,2,Presencial,1,64.41,Suficiente
20168,,99.9,1,8,52.57,si,Medio,23,7,Presencial,1,59.19,Reprobado
20169,9.0,34.8,Baja,3,34.92,NO,Alto,4,4,en línea,0,39.13,Reprobado
20170,25.0,69.4,Alta,8,99.72,Si,Alto,8,5,presencial,1,92.23,Excelente
20171,4.0,75.9,alta,8,35.12,1,Medio,45,6,presencial,0,55.64,Reprobado
20172,0.0,75.3,Media,4,66.2,Si,,38,1,en línea,1,50.22,Reprobado
20173,16.0,49.9,media,13,65.72,si,bajo,31,0,presencial,0,53.94,Reprobado
20174,13.0,68.6,1,7,81.07,0,,20,3,EN LÍNEA,0,88.01,Bueno
20175,,90.9,media,17,42.56,1,bajo,14,4,en línea,0,62.74,Suficiente
20176,45.0,34.4,media,19,91.2,si,Bajo,26,2,en línea,0,96.26,Excelente
20177,49.0,55.0,0,9,85.07,0,MEDIO,21,3,presencial,0,84.33,Bueno
20178,48.0,67.0,Baja,9,70.71,NO,bajo,47,0,EN LÍNEA,1,100.0,Excelente
20179,10.0,80.6,1,11,,0,Bajo,35,7,EN LÍNEA,1,71.89,Suficiente
20180,31.0,47.5,Alta,14,54.21,0,bajo,36,4,EN LÍNEA,0,64.03,Suficiente
20181,39.0,86.9,Media,18,35.96,0,Bajo,19,3,Presencial,0,77.19,Bueno
20182,35.0,75.1,1,10,45.36,si,Medio,27,3,Presencial,0,53.82,Reprobado
20183,43.0,36.7,media,16,,Si,bajo,29,4,EN LÍNEA,1,87.87,Bueno
20184,11.0,76.1,Baja,6,31.85,,Medio,35,6,EN LÍNEA,1,46.91,Reprobado
20185,15.0,78.3,0,7,39.07,si,bajo,1,7,EN LÍNEA,1,44.5,Reprobado
20186,,77.9,media,1,90.92,si,bajo,41,2,híbrido,0,72.08,Suficiente
20187,35.0,72.8,2,12,87.55,si,MEDIO,13,5,Presencial,1,95.78,Excelente
20188,4.0,83.1,1,19,85.62,1,bajo,39,6,presencial,0,64.6,Suficiente
20189,2.0,58.1,1,19,67.93,,Bajo,2,6,híbrido,0,38.45,Reprobado
20190,31.0,44.9,2,12,86.91,No,Bajo,11,2,presencial,0,85.84,Bueno
20191,39.0,92.3,Alta,15,68.6,0,Bajo,22,7,Presencial,0,89.36,Bueno
20192,15.0,67.9,Baja,0,60.67,0,bajo,28,0,en línea,0,62.04,Suficiente
20193,32.0,45.9,2,5,97.98,si,,24,1,híbrido,0,89.02,Bueno
20194,19.0,61.9,Alta,2,98.62,1,,4,6,presencial,0,83.27,Bueno
20195,27.0,89.9,Baja,8,45.4,No,MEDIO,29,6,presencial,1,69.49,Suficiente
20196,21.0,41.8,Media,5,49.33,Si,MEDIO,33,2,en línea,0,52.73,Reprobado
20197,46.0,87.4,0,14,,si,MEDIO,23,5,híbrido,0,97.0,Excelente
20198,3.0,39.2,Alta,12,31.39,No,Bajo,17,7,EN LÍNEA,1,13.81,Reprobado
20199,40.0,82.1,alta,16,76.5,No,Bajo,33,2,híbrido,1,95.85,Excelente
20200,32.0,92.9,2,14,82.0,0,bajo,47,0,en línea,0,98.83,Excelente
20201,6.0,68.7,Alta,15,38.51,NO,Alto,45,3,híbrido,0,30.65,Reprobado
20202,48.0,32.1,ALTA,4,92.93,No,Medio,16,3,Presencial,1,94.31,Excelente
20203,5.0,51.1,Alta,1,41.4,Si,Alto,38,3,en línea,0,34.15,Reprobado
20204,24.0,38.3,1,17,74.75,1,Medio,0,2,EN LÍNEA,1,70.4,Suficiente
20205,40.0,85.2,Media,2,87.23,,Medio,27,5,en línea,0,100.0,Excelente
20206,4.0,82.5,ALTA,12,63.96,No,Alto,14,1,en línea,1,42.26,Reprobado
20207,25.0,37.3,0,2,,NO,Medio,28,7,Presencial,0,68.09,Suficiente
20208,9.0,38.8,Alta,15,,No,MEDIO,19,0,en línea,0,29.74,Reprobado
20209,47.0,39.1,0,5,70.05,No,Bajo,13,4,en línea,1,83.66,Bueno
20210,4.0,54.4,Media,15,57.38,0,MEDIO,31,3,EN LÍNEA,1,46.47,Reprobado
20211,27.0,41.2,media,12,36.62,No,Bajo,8,1,híbrido,0,45.5,Reprobado
20212,40.0,63.0,2,13,90.04,NO,Alto,35,0,en línea,0,92.49,Excelente
20213,9.0,32.1,2,17,32.41,NO,Alto,41,4,híbrido,1,17.3,Reprobado
20214,35.0,82.5,0,4,84.46,Si,bajo,1,3,en línea,0,90.67,Excelente
20215,16.0,65.9,alta,6,83.79,1,Medio,42,4,Presencial,0,96.28,Excelente
20216,23.0,82.7,2,5,30.23,si,MEDIO,24,4,Presencial,0,40.56,Reprobado
20217,48.0,63.4,Alta,1,40.17,Si,Alto,36,4,EN LÍNEA,1,67.48,Suficiente
20218,10.0,34.6,2,3,78.14,Si,Bajo,13,0,presencial,1,65.2,Suficiente
20219,2.0,46.2,media,19,61.52,0,MEDIO,33,2,híbrido,0,36.82,Reprobado
20220,38.0,35.0,Alta,5,71.15,0,Bajo,37,2,en línea,0,93.42,Excelente
20221,6.0,40.4,Alta,12,49.43,NO,Alto,3,0,híbrido,0,44.46,Reprobado
20222,22.0,74.2,Baja,14,47.29,No,MEDIO,25,1,en línea,1,39.55,Reprobado
20223,9.0,82.1,Media,11,69.53,,bajo,24,6,híbrido,0,72.54,Suficiente
20224,,36.2,0,5,,1,,42,1,EN LÍNEA,0,69.11,Suficiente
20225,36.0,31.8,ALTA,0,30.58,No,MEDIO,47,2,híbrido,1,63.49,Suficiente
20226,41.0,80.9,Alta,10,47.66,0,bajo,47,4,Presencial,1,92.41,Excelente
20227,10.0,46.8,ALTA,4,46.78,Si,bajo,4,7,EN LÍNEA,0,50.04,Reprobado
20228,29.0,93.4,Baja,6,,0,,46,0,presencial,0,86.62,Bueno
20229,0.0,52.4,Baja,0,80.03,No,Bajo,37,0,EN LÍNEA,0,54.56,Reprobado
20230,23.0,53.5,alta,15,34.77,Si,Medio,21,3,en línea,0,52.67,Reprobado
20231,40.0,36.0,Alta,0,32.84,,Bajo,19,7,híbrido,0,65.42,Suficiente
20232,8.0,89.7,Media,10,60.81,0,Alto,7,6,presencial,0,53.44,Reprobado
20233,16.0,77.6,media,9,56.75,NO,MEDIO,6,0,en línea,0,53.2,Reprobado
20234,9.0,54.4,ALTA,1,85.33,si,,44,3,presencial,0,63.77,Suficiente
20235,,88.0,media,18,,No,MEDIO,6,4,en línea,0,95.63,Excelente
20236,15.0,90.4,media,17,62.57,Si,,27,6,Presencial,0,69.03,Suficiente
20237,23.0,69.8,0,9,44.62,1,Alto,27,2,en línea,1,61.17,Suficiente
20238,30.0,34.6,1,3,50.51,No,MEDIO,28,6,híbrido,0,69.02,Suficiente
20239,39.0,73.3,Baja,19,83.69,1,MEDIO,40,7,híbrido,0,91.24,Excelente
20240,30.0,86.8,ALTA,8,37.57,Si,MEDIO,23,2,presencial,1,63.4,Suficiente
20241,48.0,84.3,Baja,2,64.34,Si,,6,6,en línea,1,100.0,Excelente
20242,11.0,80.9,media,11,93.74,0,MEDIO,17,0,presencial,0,76.05,Bueno
20243,27.0,59.1,ALTA,13,43.98,si,bajo,13,7,Presencial,1,65.93,Suficiente
20244,21.0,46.6,1,9,30.37,si,Alto,24,1,híbrido,0,53.59,Reprobado
20245,9.0,55.1,Alta,8,64.04,NO,MEDIO,36,0,en línea,1,40.12,Reprobado
20246,4.0,90.5,ALTA,19,53.55,Si,MEDIO,34,0,en línea,0,60.27,Suficiente
20247,,48.2,Media,4,80.07,,,43,4,en línea,1,100.0,Excelente
20248,30.0,65.1,Media,1,88.65,si,MEDIO,10,4,en línea,1,100.0,Excelente
20249,2.0,65.8,media,9,,,Medio,2,5,EN LÍNEA,1,38.26,Reprobado
20250,41.0,36.8,0,11,,,bajo,34,7,en línea,0,64.24,Suficiente
20251,4.0,63.5,ALTA,17,31.82,1,Medio,44,5,en línea,0,32.96,Reprobado
20252,34.0,78.7,Baja,17,,Si,Medio,24,0,presencial,1,87.86,Bueno
20253,,89.6,alta,9,69.49,NO,Medio,3,0,presencial,1,59.67,Reprobado
20254,29.0,37.2,1,0,64.19,0,Medio,0,2,presencial,0,76.17,Bueno
20255,48.0,73.2,1,7,46.7,0,Bajo,38,7,presencial,0,65.85,Suficiente
20256,47.0,98.7,Alta,17,71.51,0,MEDIO,11,2,Presencial,1,97.84,Excelente
20257,27.0,48.1,media,16,,No,MEDIO,28,7,Presencial,0,81.24,Bueno
20258,18.0,83.3,2,8,87.86,si,MEDIO,4,7,en línea,1,75.49,Bueno
20259,38.0,35.3,alta,6,,0,Bajo,32,3,Presencial,0,69.39,Suficiente
20260,8.0,63.0,alta,2,89.21,0,bajo,17,7,en línea,0,65.36,Suficiente
20261,9.0,99.4,1,3,84.97,1,Alto,8,5,Presencial,0,75.1,Bueno
20262,13.0,58.3,1,14,88.13,NO,,13,6,presencial,0,70.77,Suficiente
20263,45.0,80.1,0,11,41.07,1,Bajo,26,5,en línea,0,71.35,Suficiente
20264,,57.8,alta,15,42.87,1,bajo,17,6,híbrido,1,68.49,Suficiente
20265,26.0,76.1,alta,2,88.6,1,Bajo,22,5,EN LÍNEA,0,98.48,Excelente
20266,,51.3,ALTA,19,69.51,NO,Alto,37,3,EN LÍNEA,0,70.55,Suficiente
20267,45.0,57.6,Media,3,74.72,Si,Medio,23,4,Presencial,1,97.21,Excelente
20268,16.0,57.4,alta,9,64.03,,Bajo,22,1,híbrido,1,64.97,Suficiente
20269,17.0,61.3,1,7,79.66,No,Medio,24,1,en línea,1,70.26,Suficiente
20270,38.0,63.3,2,6,69.92,No,Alto,30,3,presencial,0,81.98,Bueno
20271,32.0,82.4,1,18,37.09,si,,42,2,Presencial,1,51.03,Reprobado
20272,12.0,59.5,0,16,49.3,si,MEDIO,4,6,EN LÍNEA,0,45.84,Reprobado
20273,30.0,36.6,Alta,14,94.43,si,Bajo,21,3,en línea,1,99.99,Excelente
20274,40.0,74.2,1,18,61.33,si,MEDIO,35,7,Presencial,0,77.25,Bueno
20275,34.0,99.3,Baja,16,,,,10,5,en línea,0,63.45,Suficiente
20276,39.0,76.8,2,9,55.57,Si,Bajo,6,6,en línea,0,83.12,Bueno
20277,11.0,48.6,ALTA,5,,si,,16,0,en línea,0,24.99,Reprobado
20278,24.0,64.6,0,5,74.9,NO,Medio,1,7,Presencial,0,90.46,Excelente
20279,18.0,34.5,Baja,5,,,,19,0,en línea,1,65.24,Suficiente
20280,46.0,72.0,Media,12,37.83,si,Medio,5,3,presencial,0,71.53,Suficiente
20281,24.0,92.4,alta,19,92.03,0,bajo,47,5,EN LÍNEA,1,82.92,Bueno
20282,48.0,98.5,ALTA,17,54.37,1,Alto,22,6,EN LÍNEA,0,82.59,Bueno
20283,35.0,54.4,Media,3,79.28,NO,Medio,30,7,Presencial,0,88.85,Bueno
20284,30.0,41.3,0,1,61.61,1,Bajo,18,6,EN LÍNEA,0,73.87,Suficiente
20285,14.0,66.2,0,16,98.14,1,Bajo,9,1,EN LÍNEA,0,57.41,Reprobado
20286,17.0,94.2,media,8,75.24,No,bajo,2,4,presencial,0,84.4,Bueno
20287,26.0,88.0,Media,6,97.88,NO,bajo,41,6,Presencial,1,100.0,Excelente
20288,46.0,92.7,alta,9,86.01,1,Bajo,12,5,en línea,0,100.0,Excelente
20289,26.0,55.8,Media,2,71.11,si,Bajo,4,5,presencial,0,67.99,Suficiente
20290,15.0,64.7,1,14,74.23,No,Medio,1,1,híbrido,1,59.65,Reprobado
20291,36.0,91.6,Media,2,78.8,Si,,19,6,híbrido,0,100.0,Excelente
20292,40.0,76.7,0,9,76.84,No,Bajo,15,5,en línea,0,89.16,Bueno
20293,43.0,97.0,1,9,35.74,Si,bajo,35,1,híbrido,1,75.04,Bueno
20294,17.0,60.2,Media,5,73.23,Si,Alto,10,2,Presencial,1,61.4,Suficiente
20295,7.0,63.9,0,15,50.69,si,bajo,36,4,híbrido,1,42.65,Reprobado
